SIRA,ÜLKE,2022,2021,NÜFUS
1,FİNLANDİYA,7.842,7.809,5554960
2,DANİMARKA,7.62,7.646,5834950
3,İSVİÇRE,7.571,7.56,8773637
4,İZLANDA,7.554,7.504,345393
5,HOLLANDA,7.464,7.449,17211447
6,NORVEÇ,7.392,7.488,5511370
7,İSVEÇ,7.363,7.353,10218971
8,LÜKSEMBURG,7.324,7.238,642371
9,YENİ ZELANDA,7.277,7.3,4898203
10,AVUSTURYA,7.268,7.294,9066710
11,AVUSTRALYA,7.183,7.223,26068792
12,İSRAİL,7.157,7.129,8922892
13,ALMANYA,7.155,7.076,83883596
14,KANADA,7.103,7.232,38388419
15,İRLANDA,7.085,7.129,5020199
16,KOSTA RİKA,7.069,7.121,5182354
17,İNGİLTERE,7.064,7.165,68497907
18,ÇEKYA,6.965,6.911,10736784
19,ABD,6.951,6.94,334805269
20,BELÇİKA,6.834,6.864,11668278
21,FRANSA,6.69,6.664,65584518
22,BAHREYN,6.647,6.227,1783983
23,MALTA,6.602,6.773,444033
24,TAYVAN,6.584,6.455,23888595
25,B. A. E.,6.561,6.791,10081785
26,S. ARABİSTAN,6.494,6.406,35844909
27,İSPANYA,6.491,6.401,46719142
28,İTALYA,6.483,6.387,60262770
29,SLOVENYA,6.461,6.363,2078034
30,GUATEMALA,6.435,6.399,18584039
31,URUGUAY,6.431,6.44,3496016
32,SİNGAPUR,6.377,6.377,5943546
33,SLOVAKYA,6.331,6.281,5460193
34,BREZİLYA,6.33,6.376,215353593
35,MEKSİKA,6.317,6.465,131562772
36,JAMAİKA,6.309,5.89,2985094
37,LİTVANYA,6.255,6.215,2661708
38,KIBRIS,6.223,6.159,1223387
39,ESTONYA,6.189,6.022,1321910
40,PANAMA,6.18,6.305,4446964
41,ÖZBEKİSTAN,6.179,6.258,34382084
42,ŞİLİ,6.172,6.228,19250195
43,POLONYA,6.166,6.186,37739785
44,KAZAKİSTAN,6.152,6.058,19205043
45,ROMANYA,6.14,6.124,19031335
46,KUVEYT,6.106,6.102,4380326
47,SIRBİSTAN,6.078,5.778,8653016
48,EL SALVADOR,6.061,6.348,6550389
49,MAURİTİUS,6.049,6.101,1274727
50,LETONYA,6.032,5.95,1848837
51,KOLOMBİYA,6.012,6.163,51512762
52,MACARİSTAN,5.992,6.0,9606259
53,TAYLAND,5.985,5.999,70078203
54,NİKARAGUA,5.972,6.137,6779100
55,JAPONYA,5.94,5.871,125584838
56,ARJANTİN,5.929,5.975,46010234
57,PORTEKİZ,5.929,5.911,10140570
58,HONDURAS,5.919,5.953,10221247
59,HIRVATİSTAN,5.882,5.505,4059286
60,FİLİPİNLER,5.88,6.006,112508994
61,GÜNEY KORE,5.845,5.872,51329899
62,PERU,5.84,5.797,33684208
63,BOSNA HERSEK,5.813,5.674,3249317
64,MOLDOVA,5.766,5.608,4013171
65,EKVATOR,5.764,5.925,18113361
66,KIRGIZİSTAN,5.744,5.542,6728271
67,YUNANİSTAN,5.723,5.515,10316637
68,BOLİVYA,5.716,5.747,11992656
69,MOĞOLİSTAN,5.677,5.456,3378078
70,PARAGUAY,5.653,5.692,7305843
71,KARADAĞ,5.581,5.546,627950
72,DOMİNİK,5.545,5.689,11056370
73,BELARUS,5.534,5.54,9432800
