Size Designation.1;Size Designation.2.1;Size Designation.2.3.1;Name;Load Index;Speed Index.1;Speed Index.2;Price per Tire;Total Price;Cube
195/55;R15;85;PIRELLI CINTURATO P1 VERDE;515 kg;V;max. 240 km/h;106,02;424,08;B
195/55;R15;85;CONTINENTAL ULTRACONTACT;515 kg;H; max. 210 km/h;103,92;415,68;A
195/55;R15;85;BRIDGESTONE TURANZA T005;515 kg;V;max. 240 km/h;111,66;446,64;A
195/55;R15;85;YOKOHAMA ADVAN FLEVA V701;515 kg;V;max. 240 km/h;88,9;355,6;A
195/55;R15;85;FALKEN ZE-310 ZIEX ECORUN;515 kg;H; max. 210 km/h;78,55;314,2;A
195/55;R15;85;NOKIAN WETPROOF;515 kg;V;max. 240 km/h;91,47;365,88;A
195/55;R15;85;MICHELIN PRIMACY 4;515 kg;V;max. 240 km/h;127,8;511,2;A
195/55;R15;85;DUNLOP SP SPORT BLURESPONSE;515 kg;V;max. 240 km/h;108,06;432,24;A
195/55;R15;85;GOODYEAR EFFICIENTGRIP PERFORMANCE;515 kg;H; max. 210 km/h;103,56;414,24;A
195/55;R15;85;UNIROYAL RAINSPORT 5;515 kg;H; max. 210 km/h;88,69;354,76;A
195/55;R15;85;FIRESTONE ROADHAWK;515 kg;H; max. 210 km/h;88,31;353,24;A
195/55;R15;85;HANKOOK K125 Ventus Prime3;515 kg;H; max. 210 km/h;81,87;327,48;A
195/55;R15;85;FALKEN SN-110 SINCERA ECORUN;515 kg;H; max. 210 km/h;78,89;315,56;A
195/55;R15;85;VREDESTEIN ULTRAC (NEU);515 kg;V;max. 240 km/h;81,45;325,8;A
195/55;R15;85;GT RADIAL FE2;515 kg;V;max. 240 km/h;57,22;228,88;A
195/55;R15;85;MAXXIS HP-5 PREMITRA 5;515 kg;V;max. 240 km/h;62,5;250;A
195/55;R15;85;KUMHO HS52 ECSTA;515 kg;V;max. 240 km/h;64,34;257,36;A
195/55;R15;85;YOKOHAMA BLUEARTH-ES ES32;515 kg;V;max. 240 km/h;83,65;334,6;B
195/55;R15;85;MAXXIS MECOTRA 3;515 kg;H; max. 210 km/h;64,17;256,68;B
195/55;R15;85;MINERVA F209;515 kg;H; max. 210 km/h;48,84;195,36;B
195/55;R15;85;TRISTAR ECOPOWER 4 (F209);515 kg;H; max. 210 km/h;77,43;309,72;B
195/55;R15;85;SEMPERIT SPEED-LIFE 3;515 kg;V;max. 240 km/h;93,84;375,36;B
195/55;R15;85;LAUFENN S-FIT EQ+ (LK01);515 kg;V;max. 240 km/h;65,16;260,64;B
195/55;R15;85;NEXEN N`BLUE HD PLUS;515 kg;H; max. 210 km/h;58,06;232,24;B
195/55;R15;85;YOKOHAMA ADVAN NEOVA AD08RS;515 kg;V;max. 240 km/h;107,49;429,96;B
195/55;R15;85;FORTUNE FSR802;515 kg;V;max. 240 km/h;48,52;194,08;B
195/55;R15;89;YOKOHAMA A052 ADVAN;89 (580 kg);V;max. 240 km/h;162,04;648,16;B
195/55;R15;85;KLEBER Dynaxer HP4;515 kg;H; max. 210 km/h;81,45;325,8;B
195/55;R15;85;RIKEN ROAD PERFORMANCE;515 kg;V;max. 240 km/h;57,08;228,32;C
195/55;R15;85;SUPERIA TIRES ECOBLUE HP;515 kg;H; max. 210 km/h;48,65;194,6;C
195/55;R15;85;BERLIN TIRES SUMMER HP ECO;515 kg;V;max. 240 km/h;47,66;190,64;C
195/55;R15;85;DEBICA PRESTO HP;515 kg;V;max. 240 km/h;74,89;299,56;C
195/55;R15;85;SAVA INTENSA HP;515 kg;H; max. 210 km/h;72,26;289,04;C
195/55;R15;85;WINDFORCE CATCHFORS H/P;515 kg;V;max. 240 km/h;39,82;159,28;C
195/55;R15;85;FULDA ECOCONTROL HP;515 kg;H; max. 210 km/h;79,24;316,96;C
195/55;R15;89;EP-TYRES ACCELERA PHI-R;89 (580 kg);V;max. 240 km/h;47,66;190,64;C
195/55;R15;89;TOYO PROXES R888R;89 (580 kg);V;max. 240 km/h;152,76;611,04;E
